Genome,10_S15.sorted Relative Abundance (%),12_S16.sorted Relative Abundance (%),13_S17.sorted Relative Abundance (%),14_S18.sorted Relative Abundance (%),1_S6.sorted Relative Abundance (%),2_S7.sorted Relative Abundance (%),3_S8.sorted Relative Abundance (%),4_S9.sorted Relative Abundance (%),5_S10.sorted Relative Abundance (%),6_S11.sorted Relative Abundance (%),7_S12.sorted Relative Abundance (%),8_S13.sorted Relative Abundance (%),9_S14.sorted Relative Abundance (%),TotalAbundance
binning_output.008,0.1917561,0.0,0.060247045,0.0,3.6668057,0.9483022,0.15317875,0.15197214,0.21084237,0.13562611,0.2875025,0.16659623,0.14325124,6.116080384999998
binning_output.019,0.0,5.6114235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6114235
binning_output.011,0.0,0.0,0.02420403,0.0,5.0137434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03794743
binning_output.016,1.735091,0.0,0.0,0.8150072,0.0,0.34022135,0.0,0.07988345,0.0,1.1274284,0.0,0.608653,0.0,4.7062844
binning_output.013,0.07257216,0.0,0.3050187,0.0,2.9899263,0.0,0.45864666,0.2278641,0.14551039,0.031113362,0.14789326,0.07422187,0.18675569,4.639522492
binning_output.024,0.063150354,0.0,0.0,1.2567352,0.0,0.7130988,0.30133465,0.125592,0.7604835,0.07037746,0.34350386,0.077528894,0.90059143,4.612396147999999
binning_output.026,0.5211503,0.0,0.0,0.3535216,0.0,0.07701802,0.3621994,0.03537212,0.88694185,0.2926332,0.4242577,0.25709882,1.1706817,4.38087471
binning_output.014,0.0,0.0,0.0,2.5213542,0.0,0.91440684,0.0,0.7801005,0.0,0.05396224,0.0,0.087430455,0.0,4.357254234999999
binning_output.020,1.0912206,0.0,0.0,0.95072347,0.0,0.39247376,0.14512217,0.14072765,0.2378147,0.54448366,0.19963734,0.30674636,0.29411927,4.303068980000001
binning_output.021,0.07534772,0.0,0.065037005,0.0,0.0,0.0,2.1635094,0.12102485,0.61966246,0.051826287,0.35363242,0.12629938,0.60621446,4.182553982
binning_output.025,0.03317031,0.0,0.0,2.1546433,0.0,0.666223,0.0,0.8178149,0.0,0.060394444,0.0,0.32850188,0.0,4.060747834
binning_output.022,1.2834553,0.0,0.0,1.3123796,0.0,0.28899497,0.0,0.038337085,0.0,0.71145976,0.0,0.38939354,0.0,4.024020255
binning_output.018,0.04949553,0.0,0.0,1.22076,0.34319144,0.94261694,0.17972457,0.5762635,0.11971619,0.055648044,0.110647425,0.23711897,0.08837597,3.9235585789999994
binning_output.017,0.05461704,0.22336441,1.3706281,0.0,0.9912014,0.0,0.4045955,0.14753307,0.21021236,0.04297295,0.19904855,0.08637445,0.15253212,3.8830799500000004
binning_output.029,1.2311084,0.0,0.0,0.97962356,0.0,0.2976875,0.0,0.055926405,0.0,0.8231637,0.0,0.42110983,0.0,3.808619395
binning_output.023,0.0,0.0,3.206397,0.0,0.32521486,0.0,0.03152113,0.0,0.0,0.0,0.0,0.0,0.0,3.5631329899999997
binning_output.042,0.05609621,2.6060898,0.0,0.0,0.0,0.0,0.10152275,0.0,0.22344479,0.05014921,0.116929755,0.045722622,0.25758043,3.457535567
binning_output.015,0.0,0.0,0.014950433,0.0,3.4220378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436988233
binning_output.031,1.1461831,0.0,0.0,0.68288183,0.0,0.250957,0.0,0.09379066,0.0,0.82345104,0.0,0.4158825,0.0,3.41314613
binning_output.027,0.0,0.0,0.0,1.1836113,0.0,0.9546437,0.0,0.93483144,0.0,0.0,0.0,0.042291433,0.0,3.115377873
binning_output.032,0.3513675,0.0,0.0,0.10786022,0.0,0.04314634,0.24661784,0.14917614,0.41948003,0.14920692,1.047474,0.3060882,0.29241523,3.11283242
binning_output.034,0.44109592,0.0,0.0,0.69112873,0.0,0.22980429,0.115382075,0.17499956,0.27370176,0.26180732,0.16380875,0.19758359,0.3959797,2.9452916949999994
binning_output.035,1.0127383,0.0,0.0,0.8058889,0.0,0.20207874,0.0,0.030413833,0.0,0.56253374,0.0,0.3145338,0.0,2.928187313
binning_output.037,0.7888595,0.0,0.0,0.75557923,0.0,0.24416216,0.0,0.03575916,0.0,0.585048,0.0,0.40875342,0.0,2.8181614699999997
binning_output.033,0.035971835,0.0,0.0,1.4840957,0.23361559,0.58456385,0.0,0.28672323,0.0,0.03713592,0.0,0.02905267,0.0,2.691158795
binning_output.039,0.20674492,0.0,0.0,0.0,0.0,0.0,0.41310966,0.18063602,0.34282237,0.09743265,0.8913664,0.26734746,0.29107958,2.69053906
binning_output.030,0.078132026,0.0,0.0,0.7592157,0.0,0.9369591,0.0,0.81882733,0.0,0.029636616,0.0,0.03164455,0.0,2.654415322
binning_output.041,0.8075203,0.0,0.0,0.26970828,0.0,0.14032267,0.0,0.02551827,0.0,0.9770063,0.0,0.4113098,0.0,2.63138562
binning_output.036,0.94032615,0.0,0.0,0.35853493,0.33538583,0.116898574,0.0,0.048871126,0.0,0.45629936,0.0,0.23480055,0.0,2.49111652
binning_output.043,0.015647182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15689223,0.0,0.91838455,0.8149913,0.33086702,2.236782282
binning_output.045,0.0,0.0,0.0,1.1186371,0.0,0.74685377,0.0,0.18606344,0.0,0.0,0.0,0.08221535,0.0,2.1337696599999996
binning_output.038,0.0,0.0,1.5722619,0.043522544,0.0,0.032312263,0.0,0.43384123,0.0,0.0,0.0,0.021831706,0.0,2.1037696429999997
binning_output.051,0.11137123,0.9488898,0.0,0.11944575,0.0,0.039594643,0.11880559,0.37111685,0.09273809,0.0784562,0.051029056,0.041856956,0.071271755,2.0445759199999998
binning_output.047,0.0,0.0,2.0247133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0247133
binning_output.049,0.048422623,0.0,0.080871046,0.0,0.0,0.0,0.8407813,0.11264094,0.2882497,0.030076187,0.22996135,0.08369859,0.30101287,2.0157146059999995
binning_output.055,0.66909534,0.0,0.0,0.25199726,0.0,0.11385589,0.029221991,0.07129716,0.044897117,0.41058108,0.11178162,0.22824755,0.045321327,1.9762963350000002
binning_output.050,0.12917198,0.0,0.06020476,0.0,0.0,0.0,0.36114368,0.17421672,0.37230822,0.056088444,0.42923406,0.1332693,0.20521572,1.920852884
binning_output.052,0.14199358,0.0,0.0,0.0,0.0,0.0,0.31062534,0.18446603,0.44396815,0.057331745,0.4718698,0.12827188,0.17517033,1.913696855
binning_output.062,0.5813121,0.0,0.0,0.40554443,0.0,0.15528458,0.0,0.1984194,0.0,0.3587968,0.0,0.2079432,0.0,1.9073005099999998
binning_output.066,0.2514058,0.0,0.0,0.369483,0.0,0.22252649,0.076104544,0.09189175,0.19963568,0.17220552,0.10582267,0.10468574,0.28308585,1.8768470440000002
binning_output.060,0.46518865,0.0,0.0,0.22934075,0.0,0.21000189,0.057825286,0.07502326,0.054370772,0.37146768,0.14147732,0.1868407,0.060787056,1.8523233639999999
binning_output.061,0.5613324,0.0,0.0,0.2187481,0.0,0.11459042,0.036660813,0.039805565,0.02972579,0.44419387,0.13169996,0.21167205,0.036196534,1.824625502
binning_output.064,0.46099162,0.0,0.0,0.3185041,0.0,0.1767728,0.04093553,0.054788917,0.07250839,0.29382238,0.116605185,0.15057532,0.10324828,1.7887525220000002
binning_output.046,0.58010334,0.0,0.0,0.3195895,0.0,0.12142832,0.0,0.49168313,0.0,0.14157717,0.0,0.07220149,0.0,1.7265829499999998
binning_output.067,0.34966898,0.0,0.0,0.18503657,0.0,0.13452268,0.09641658,0.061989766,0.14254807,0.32456636,0.07268463,0.17362048,0.17230466,1.713358776
binning_output.044,0.0,0.0,0.0,0.18275914,0.0,1.2045807,0.0,0.32245424,0.0,0.0,0.0,0.0,0.0,1.70979408
binning_output.068,0.1301062,0.0,0.0,0.0,0.0,0.0,0.24947818,0.15329698,0.40844968,0.054855466,0.4402393,0.12246308,0.14891027,1.7077991559999999
binning_output.057,0.27416882,0.0,0.0,0.24765153,0.0,0.3316893,0.0,0.199232,0.0,0.41835266,0.0,0.18198355,0.0,1.6530778600000002
binning_output.040,0.0,0.0,0.0,0.80453247,0.0,0.2475874,0.0,0.5641314,0.0,0.0,0.0,0.024548931,0.0,1.640800201
binning_output.070,0.03951045,0.21595414,0.2873292,0.0,0.06688946,0.0,0.33109114,0.09113929,0.16575596,0.032638345,0.18746234,0.07728419,0.12884718,1.623901695
binning_output.065,0.038531195,0.0,0.0,0.0,0.0,0.0,0.31827635,0.23279679,0.18210377,0.042604554,0.56059045,0.15469149,0.09261605,1.622210649
binning_output.063,0.056346163,0.0,0.039463326,0.0,0.0,0.0,0.4079938,0.19157715,0.2558094,0.05975483,0.29916742,0.14814655,0.15957172,1.6178303589999998
binning_output.071,0.68441314,0.0,0.0,0.304897,0.0,0.11677533,0.0,0.0352015,0.0,0.28484464,0.0,0.16700791,0.0,1.5931395199999998
binning_output.069,0.0,0.0,0.0,0.3337389,0.0,1.1465603,0.0,0.071936496,0.0,0.0,0.0,0.031263154,0.0,1.5834988499999998
binning_output.056,0.08031238,0.0,0.0,0.28458077,0.0,0.54164857,0.0,0.47651675,0.0,0.11796539,0.0,0.054213688,0.0,1.5552375479999998
binning_output.048,0.08171474,0.0,0.0,0.73153335,0.0,0.27200872,0.0,0.34946382,0.0,0.05450802,0.0,0.045514386,0.0,1.534743036
binning_output.058,0.15792514,0.0,0.0,0.0,0.0,0.0,0.49472457,0.2151158,0.17250468,0.0950875,0.13212147,0.1388491,0.116760775,1.523089035
binning_output.059,0.41787496,0.0,0.0,0.304365,0.0,0.13465437,0.0,0.35036823,0.0,0.18831821,0.0,0.122146234,0.0,1.517727004
binning_output.089,0.0,1.2526084,0.0,0.0,0.0,0.0,0.040001087,0.02364564,0.054087088,0.0,0.054565366,0.020290917,0.05107346,1.4962719580000001
binning_output.072,0.16885935,0.0,0.0,0.0,0.0,0.0,0.28959727,0.36398917,0.099548206,0.057290923,0.28825736,0.15369941,0.069756,1.490997689
binning_output.075,0.117689475,0.0,0.0,0.0,0.0,0.0,0.1917877,0.11600303,0.362845,0.045236863,0.40095693,0.11009916,0.13787238,1.482490538
binning_output.081,0.45585716,0.0,0.0,0.09466633,0.0,0.07135388,0.033272803,0.012864196,0.07719962,0.4953674,0.051705323,0.07402235,0.0963542,1.4626632619999997
binning_output.053,0.13381532,0.0,0.0,0.0,0.25291547,0.0,0.37536487,0.19423874,0.12960747,0.077841684,0.10267264,0.10726398,0.08815327,1.4618734439999999
binning_output.076,0.0,0.0,1.3232379,0.0,0.06566935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3889072500000001
binning_output.073,0.016839942,0.0,0.0,0.0,0.0,0.0,0.32869336,0.1340344,0.4577435,0.03429625,0.30720943,0.04920189,0.022968229,1.350987001
binning_output.074,0.11406158,0.0,0.0,0.22543795,0.11810883,0.15793473,0.11408444,0.20295443,0.08042262,0.08942223,0.09704284,0.08333037,0.060970332,1.3437703520000002
binning_output.080,0.0,0.0,0.0,0.11156502,0.0,1.1573724,0.0,0.033990923,0.0,0.0,0.0,0.0,0.0,1.302928343
binning_output.087,0.0364896,0.0,0.022128306,0.0,0.0,0.0,0.32555553,0.105578914,0.1949972,0.0641493,0.23436955,0.12814823,0.13878393,1.25020056
binning_output.082,0.0,0.0,1.1836768,0.0,0.058610998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.242287798
binning_output.101,0.0,0.9702141,0.0,0.0,0.0,0.0,0.08194279,0.036008142,0.039984096,0.0,0.048536133,0.029055849,0.0,1.20574111
binning_output.077,0.0,0.0,0.0,0.47546968,0.0,0.46778283,0.0,0.19454293,0.0,0.038017612,0.0,0.0,0.0,1.175813052
binning_output.095,0.0,0.0,0.0,0.0,0.0,1.1200151,0.0,0.031610433,0.0,0.0,0.0,0.0,0.0,1.151625533
binning_output.083,0.0,0.0,0.0,0.2360057,0.0,0.7469603,0.0,0.1587426,0.0,0.0,0.0,0.0,0.0,1.1417086
binning_output.085,0.0,0.0,1.0124708,0.0,0.097887084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.110357884
binning_output.078,0.0,0.0,0.97714937,0.0,0.07277616,0.0,0.04852634,0.0,0.0,0.0,0.0,0.0,0.0,1.09845187
binning_output.102,0.26391098,0.0,0.0,0.39116812,0.0,0.13051839,0.0,0.15303665,0.0,0.09211154,0.0,0.055449955,0.0,1.0861956350000002
binning_output.054,0.0,0.0,0.0,0.0,1.0716276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0716276
binning_output.126,0.0,1.048948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.048948
binning_output.086,0.0,0.0,1.0255265,0.0,0.019654997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.045181497
binning_output.148,0.0,1.0222633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0222633
binning_output.091,0.0,0.0,0.0,0.43624076,0.0,0.1410382,0.0,0.411694,0.0,0.0,0.0,0.031156924,0.0,1.020129884
binning_output.094,0.10793342,0.0,0.0,0.3695313,0.0,0.21456294,0.0,0.17349595,0.0,0.082202815,0.0,0.06060839,0.0,1.0083348150000002
binning_output.096,0.0,0.0,0.0,0.7845499,0.0,0.0,0.0,0.0,0.06471263,0.0,0.054950874,0.0,0.08995148,0.994164884
binning_output.084,0.03361804,0.0,0.0393138,0.0,0.06344237,0.0,0.3194746,0.13142075,0.14154871,0.0,0.065933995,0.04033429,0.1427625,0.977849055
binning_output.110,0.017610824,0.313212,0.09803479,0.0,0.1384628,0.0,0.12004598,0.06357375,0.058797646,0.015459453,0.071871504,0.038629938,0.02937223,0.965070915
binning_output.098,0.028737044,0.0,0.0,0.33691105,0.0,0.05424272,0.0,0.2169405,0.0,0.05722435,0.0,0.267722,0.0,0.9617776640000001
binning_output.117,0.08020108,0.0,0.0,0.0,0.0,0.0,0.063893296,0.033481214,0.25353456,0.026503008,0.30946538,0.08663601,0.104558684,0.958273232
binning_output.079,0.0,0.0,0.0,0.17143781,0.0,0.47665507,0.0,0.31011948,0.0,0.0,0.0,0.0,0.0,0.95821236
binning_output.105,0.0,0.0,0.0,0.0,0.0,0.91808105,0.0,0.036548436,0.0,0.0,0.0,0.0,0.0,0.954629486
binning_output.097,0.0,0.0,0.0,0.4555729,0.0,0.112325124,0.0,0.32547867,0.0,0.020129578,0.0,0.025487976,0.0,0.9389942480000001
binning_output.099,0.0,0.0,0.9042705,0.0,0.030298026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934568526
binning_output.109,0.30243754,0.0,0.0,0.13136928,0.0,0.0970252,0.0,0.049406096,0.0,0.2565804,0.0,0.09547585,0.0,0.9322943660000002
binning_output.107,0.26449376,0.0,0.0,0.20794888,0.0,0.08585243,0.0,0.105476275,0.0,0.18253359,0.0,0.083611295,0.0,0.92991623
binning_output.113,0.02830875,0.078600995,0.0,0.45508522,0.0,0.0,0.062667705,0.06646901,0.03895593,0.0,0.12376933,0.035083707,0.027685905,0.916626552
binning_output.100,0.016938552,0.0,0.0,0.0,0.0,0.0,0.08917982,0.121205635,0.093943365,0.020788072,0.16722107,0.16422981,0.24160603,0.915112354
binning_output.121,0.030300418,0.07202216,0.0,0.3463278,0.0,0.0,0.07651686,0.046621427,0.045958217,0.0,0.18666013,0.044694453,0.037520006,0.8866214710000001
binning_output.090,0.0,0.0,0.0,0.14212155,0.0,0.28556126,0.0,0.40247595,0.0,0.032127332,0.0,0.019204987,0.0,0.8814910789999999
binning_output.138,0.07349876,0.0,0.0,0.0,0.0,0.0,0.076447725,0.039545786,0.2228217,0.027857736,0.272892,0.0769461,0.08903517,0.8790449770000002
binning_output.123,0.042363595,0.039100092,0.0,0.14784159,0.0,0.0,0.122567855,0.06587244,0.05933634,0.014867158,0.26929763,0.06376493,0.05106808,0.8760797100000001
binning_output.120,0.02476553,0.0,0.0,0.0,0.0,0.0,0.32662365,0.035762925,0.10881155,0.015987182,0.10114042,0.06582394,0.19457757,0.873492767
binning_output.088,0.0,0.0,0.7001131,0.0,0.1652034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8653165
binning_output.127,0.01134169,0.0,0.0,0.0,0.0,0.0,0.03376737,0.0,0.35088012,0.024946464,0.14483494,0.08319115,0.21410224,0.863063974
binning_output.106,0.0,0.0,0.0,0.0,0.0,0.7964308,0.0,0.031057259,0.0,0.01915274,0.0,0.0,0.0,0.846640799
binning_output.116,0.0,0.0,0.0,0.027716499,0.0,0.7438479,0.0,0.03418758,0.0,0.040384416,0.0,0.0,0.0,0.8461363949999999
binning_output.124,0.025849063,0.0,0.0,0.0,0.0,0.0,0.30252516,0.0433831,0.09428928,0.017474674,0.10924561,0.082772814,0.16758013,0.8431198310000001
binning_output.225,0.0,0.8390852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8390852
binning_output.093,0.0,0.0,0.0,0.0,0.83879673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83879673
binning_output.143,0.068350405,0.0,0.0,0.0,0.0,0.0,0.051161222,0.025586225,0.22341695,0.022625305,0.27770758,0.070388466,0.099400654,0.838636807
binning_output.103,0.04109804,0.0,0.0,0.17734607,0.0,0.0908711,0.0,0.27792677,0.09557944,0.028827967,0.025665883,0.058067128,0.0432446,0.8386269979999998
binning_output.122,0.019359155,0.0,0.0,0.0,0.0,0.0,0.4013404,0.043901064,0.090764284,0.014902239,0.08007844,0.044849012,0.1354616,0.8306561939999999
binning_output.112,0.0,0.0,0.0,0.16003063,0.0,0.5471064,0.0,0.11620672,0.0,0.0,0.0,0.0,0.0,0.8233437499999999
binning_output.135,0.0,0.0,0.0,0.021217441,0.0,0.7356319,0.0,0.02945444,0.0,0.031125646,0.0,0.0,0.0,0.817429427
binning_output.092,0.0,0.0,0.035085842,0.0,0.77407396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8091598019999999
binning_output.142,0.0,0.0,0.0,0.4691836,0.0,0.1897003,0.0,0.14237724,0.0,0.0,0.0,0.0,0.0,0.8012611399999999
binning_output.141,0.17265417,0.0,0.0,0.10137641,0.0,0.03788097,0.0,0.0,0.0,0.42034182,0.0,0.06498907,0.0,0.79724244
binning_output.128,0.07118749,0.0,0.0,0.0,0.0,0.0,0.12036449,0.1580943,0.052131053,0.033466823,0.22322805,0.105555326,0.03249355,0.7965210819999998
binning_output.119,0.0,0.0,0.0,0.55270696,0.0,0.23978762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79249458
binning_output.108,0.023152923,0.0,0.0,0.0,0.0,0.0,0.16125815,0.1224211,0.115357526,0.014973946,0.11679211,0.071544565,0.16234955,0.7878498700000001
binning_output.131,0.05376438,0.0,0.0,0.0,0.0,0.0,0.14427568,0.053691387,0.06436781,0.019192077,0.29964724,0.07363544,0.076312184,0.7848861979999999
binning_output.160,0.13595903,0.0,0.0,0.20103364,0.0,0.0854385,0.029874891,0.045788232,0.01805683,0.0957528,0.06734951,0.06857121,0.028101701,0.7759263439999999
binning_output.152,0.0191501,0.09626701,0.16102822,0.0,0.0350895,0.0,0.15462537,0.061750546,0.10033057,0.023086892,0.06410953,0.038428053,0.021414256,0.775280047
binning_output.155,0.21640898,0.0,0.0,0.17640667,0.0,0.10817975,0.0,0.03001511,0.0,0.16793251,0.0,0.075305074,0.0,0.7742480939999999
binning_output.137,0.0,0.0,0.0,0.020646824,0.0,0.68351823,0.0,0.028920501,0.0,0.036912836,0.0,0.0,0.0,0.7699983909999999
binning_output.166,0.13210076,0.0,0.0,0.10309148,0.0,0.0813455,0.064011596,0.03899245,0.021599546,0.12197032,0.0923774,0.07219987,0.038513806,0.766202728
binning_output.278,0.0,0.7651658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7651658
binning_output.133,0.070123695,0.0,0.0,0.0,0.0,0.0,0.11017121,0.14114355,0.052303676,0.031830642,0.22480032,0.10078445,0.033143938,0.7643014810000001
binning_output.173,0.13618894,0.0,0.0,0.09564254,0.0,0.087826796,0.055810962,0.029950058,0.027100902,0.10087215,0.11561311,0.07456314,0.037730034,0.7612986319999999
binning_output.215,0.0,0.75827575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75827575
binning_output.104,0.0,0.0,0.0,0.30461767,0.0,0.09532393,0.0,0.33090726,0.0,0.0,0.0,0.024503594,0.0,0.7553524540000001
binning_output.125,0.021450466,0.0,0.0,0.0,0.0,0.0,0.1488112,0.11228263,0.110779695,0.015786376,0.11071823,0.06986221,0.1487074,0.7383982069999999
binning_output.170,0.18554513,0.0,0.0,0.13908543,0.0,0.10025652,0.034183204,0.043375093,0.0,0.13297367,0.0,0.0806872,0.021529116,0.737635363
binning_output.156,0.16453224,0.0,0.0,0.042375904,0.0,0.041198853,0.0,0.0,0.0,0.41894633,0.0,0.06851802,0.0,0.7355713469999999
binning_output.139,0.0,0.0,0.0,0.0,0.0,0.0,0.015218609,0.0,0.46046448,0.021051377,0.09157968,0.03170601,0.11403956,0.734059716
binning_output.146,0.037386753,0.038452882,0.0,0.12869868,0.0,0.0,0.081242606,0.047810137,0.058142915,0.014700769,0.20854923,0.0510081,0.065470524,0.731462596
binning_output.114,0.0,0.0,0.55793864,0.0,0.12806897,0.0,0.04028012,0.0,0.0,0.0,0.0,0.0,0.0,0.7262877300000001
binning_output.177,0.13696988,0.0,0.0,0.12748446,0.0,0.09165265,0.027704868,0.03954495,0.0,0.11888213,0.04416279,0.115923874,0.020581583,0.7229071850000001
binning_output.153,0.022263106,0.1181892,0.06870754,0.0,0.025698496,0.0,0.14156464,0.061000515,0.08758193,0.021664655,0.09937956,0.05615397,0.020463848,0.72266746
binning_output.129,0.014273336,0.0,0.08382156,0.0,0.08788943,0.0,0.19352001,0.11636766,0.08123457,0.022619976,0.061240323,0.025993187,0.03368866,0.720648712
binning_output.115,0.0,0.0,0.0,0.26930138,0.057074543,0.16393508,0.0,0.19804104,0.0,0.0,0.0,0.025825432,0.0,0.714177475
binning_output.151,0.19417614,0.0,0.0,0.17096397,0.0,0.089406274,0.0,0.044359937,0.0,0.14681333,0.0,0.064411655,0.0,0.7101313060000001
binning_output.190,0.10101129,0.369916,0.0,0.08715231,0.0,0.057304867,0.0,0.0,0.0,0.06279415,0.0,0.029638665,0.0,0.707817282
binning_output.145,0.02223365,0.0,0.06694058,0.0,0.0,0.0,0.23347291,0.046460208,0.07229399,0.016509034,0.093325295,0.06709663,0.08148128,0.699813577
binning_output.165,0.18857971,0.0,0.0,0.101104036,0.0,0.077898815,0.0,0.0208468,0.03025722,0.15252516,0.020246537,0.06317986,0.039920297,0.6945584349999999
binning_output.154,0.03787249,0.0,0.0,0.0,0.0,0.0,0.055111114,0.0,0.16307001,0.0,0.14202861,0.029044231,0.26174504,0.6888714949999999
binning_output.111,0.02104609,0.12638214,0.03738004,0.0,0.121618845,0.0,0.1122606,0.08262092,0.040672116,0.0,0.05428541,0.027515426,0.0538362,0.677617787
binning_output.149,0.20450129,0.0,0.0,0.19824837,0.0,0.13820055,0.0,0.106000006,0.0,0.028247016,0.0,0.0,0.0,0.675197232
binning_output.201,0.0,0.08944482,0.1800585,0.0,0.06688596,0.0,0.1201214,0.04466962,0.061046254,0.016270421,0.048115727,0.026176993,0.021660114,0.674449809
binning_output.176,0.1690364,0.0,0.0,0.111164294,0.0,0.071317375,0.0,0.023584444,0.031431485,0.12174172,0.033605855,0.06800773,0.042963035,0.672852338
binning_output.186,0.03418129,0.07360604,0.0,0.0,0.0,0.0,0.10537047,0.061916888,0.100735344,0.036488198,0.15687703,0.08028423,0.02217683,0.67163632
binning_output.171,0.012985803,0.0,0.0,0.0,0.0,0.0,0.09913031,0.0,0.18265015,0.0,0.1264181,0.018341735,0.23103927,0.6705653680000001
binning_output.134,0.0,0.0,0.58085054,0.0,0.05670396,0.0,0.031927038,0.0,0.0,0.0,0.0,0.0,0.0,0.669481538
binning_output.167,0.0,0.10521402,0.29943255,0.0,0.07822209,0.0,0.061681718,0.026737606,0.046347767,0.0,0.028368624,0.022683052,0.0,0.668687427
binning_output.172,0.079272114,0.0,0.0,0.040339597,0.0,0.021547588,0.03495961,0.042734865,0.037521787,0.0421556,0.22499743,0.05482973,0.087511785,0.6658701060000001
binning_output.191,0.29383165,0.0,0.0,0.10452627,0.0,0.108523786,0.0,0.0128631955,0.0,0.086047366,0.0,0.04727687,0.0,0.6530691375000001
binning_output.147,0.067762025,0.0,0.0,0.034277726,0.0,0.0,0.1006671,0.044785496,0.05062403,0.036791507,0.18584087,0.06513746,0.0665024,0.6523886139999999
binning_output.118,0.0,0.0,0.0,0.034170616,0.0,0.40279874,0.0,0.20550607,0.0,0.0,0.0,0.0,0.0,0.642475426
binning_output.210,0.054678008,0.0,0.0,0.0,0.0,0.0,0.048488222,0.052307088,0.050661262,0.018942833,0.2883502,0.07920766,0.047931965,0.6405672379999999
binning_output.218,0.02640387,0.099149846,0.02543155,0.0,0.0,0.0,0.1310263,0.04340451,0.07134414,0.022340218,0.11634563,0.06043009,0.036942035,0.6328181890000001
binning_output.217,0.17111452,0.0,0.0,0.18671134,0.0,0.05379187,0.0,0.0,0.0,0.13850607,0.0,0.082671605,0.0,0.6327954050000001
binning_output.132,0.0,0.0,0.1430003,0.08616001,0.10378457,0.0,0.06378185,0.0889535,0.03996019,0.0,0.055004906,0.02404127,0.027539339,0.632225935
